Student Name,Age,Gender,Class,Quiz 1,Quiz 2,Quiz 3,Assignment Score,Midterm,Final Exam,Time Spent (hrs/week),Result
Aditi ,19,Male,XI,,absent,,,,,7.84,Fail
Priya,seventeen,,,,,,,,,9.38,
Karan,seventeen,Male,10-B,,absent,,,,55,,
Aditi,seventeen,F,10A,,,absent,,absent,,,
Ananya,19,,10A,,,,,,,five,Pass
Priya,,F,XI,absent,,,,,,6.96,FAIL
Aditi,seventeen,M,,,,absent,,83,,,FAIL
Arjun,18,Male,XI,,,85,94,28,absent,five,Pass
Arjun,seventeen,M,XI,,,absent,absent,,,,FAIL
Meena,,Female,,,,absent,absent,,absent,,Fail
Rohit,16,,,22,,,,93,,1.93,
Vikram,,F,,,,83,,,,0.95,Fail
Vikram,,M,10A,absent,17,absent,,,41,five,FAIL
Meena,16,,XI,40,96,22,,absent,,five,pass
Sneha,17,,XI,,absent,absent,absent,,,5.12,pass
Priya ,19,F,XI,,90,53,71,absent,absent,,
Rahul,18,F,12 ,,41,37,,,,five,FAIL
Sneha,15,Male,,absent,,,absent,absent,,,Fail
Arjun,19,Female,10A,,,,,,absent,9.43,Fail
Meena ,18,Female,10-B,,98,23,,5,,,pass
Aditi,seventeen,M,XI,,,,,,,five,
Vikram,19,,10-B,,absent,,53,absent,,five,Pass
Rohit,15,M,,absent,,,76,,,7.78,
Aditi,,F,,,79,,,,absent,,pass
Priya,16,Female,XI,93,6,,100,,,,Pass
Ananya,17,,,absent,,,,,absent,,
Priya ,,,,absent,,,,,,,
Aditi,15,Male,XI,absent,,,absent,,absent,,
Sneha,,F,10A,absent,,57,,44,,9.17,FAIL
Rahul,16,,XI,,95,,,absent,,,pass
Rohit,18,,,,,36,,,,,Pass
Meena ,seventeen,Male,10A,,absent,59,,absent,,,
Arjun,,F,10-B,absent,60,,absent,absent,absent,,
Vikram,18,M,12 ,absent,1,,absent,,,,FAIL
Sneha,15,,10-B,,absent,,absent,,64,,pass
Aditi,18,,10A,,,absent,,,absent,,Fail
Sneha,19,,10A,,,19,71,,53,five,
Ananya ,18,,12 ,,,66,,35,,,FAIL
Ananya,19,,10A,absent,,,,91,absent,4.03,Pass
Vikram ,16,M,12 ,88,,84,,absent,,,FAIL
Meena,16,M,10A,,,,,,24,five,Fail
Priya,,Female,12 ,,absent,,absent,,,,Pass
Rahul,,F,12 ,,,absent,,absent,,,pass
Rahul,16,Female,10-B,absent,,,35,,absent,8.08,FAIL
Rahul,,,10A,,,,21,absent,,1.94,FAIL
Rahul,18,Female,,absent,,,,40,absent,five,Pass
Ananya,15,Male,10A,,48,,,,,,Pass
Vikram,15,F,XI,,,57,,,,five,
Arjun,seventeen,M,,absent,absent,,,,absent,five,Pass
Arjun,,,10A,,absent,,,,79,9.69,Fail
Sneha,19,Male,10A,,36,,,,absent,3.16,
Rohit,19,Male,,43,,,,,,,Pass
Meena,15,F,,absent,,,absent,,,7.47,
Meena,,,XI,,,absent,,,,,
Priya ,15,,,42,,absent,,absent,,,
Arjun,seventeen,Female,12 ,,,absent,43,absent,absent,,pass
Karan,17,Female,10-B,,,,84,47,,,Fail
Vikram,16,M,10A,68,74,absent,,,,five,
Rahul,17,F,12 ,absent,,,,,absent,0.7,FAIL
Aditi,17,M,12 ,absent,53,53,78,,absent,five,Fail
Ananya ,,Male,XI,,,,,,,five,pass
Rahul,seventeen,F,10-B,,,,,,,,Fail
Meena ,seventeen,,10-B,,,,24,absent,,,
Karan,17,,,72,,,,,,,pass
Rahul,19,,,,,,absent,,,,Pass
Karan,16,F,12 ,84,absent,,absent,absent,55,,FAIL
Priya,17,Male,12 ,,61,,absent,59,,,pass
Karan,,,10-B,absent,absent,67,,73,,,Fail
Aditi ,17,,,27,34,,,,,9.29,FAIL
Vikram ,seventeen,Male,12 ,,,,absent,absent,91,,pass
Rahul,,,10A,50,,47,absent,absent,,,Pass
Rahul,18,Male,,,absent,,,absent,,1.03,FAIL
Karan,,,XI,,,,34,,8,,
Karan,18,Female,12 ,40,80,absent,72,,,,
Arjun,18,M,10A,absent,,,absent,,absent,,
Karan,17,F,12 ,absent,,,absent,absent,,5.72,FAIL
Ananya ,15,M,,,,,,absent,81,9.9,
Arjun ,seventeen,,12 ,absent,,,,absent,,five,Fail
Arjun,18,F,12 ,absent,,,,,absent,,Pass
Aditi,17,F,10A,,absent,72,,,,5.88,Pass
Priya,17,F,12 ,,,26,,absent,absent,,
Rahul,,M,,,,,absent,,,,Fail
Rahul,,M,,,,,absent,,,,Fail
Sneha,18,M,10A,,,,absent,,,3.12,FAIL
Ananya,16,Male,,77,,,absent,36,,,Pass
Meena,15,F,12 ,,,73,9,,,,
Arjun,16,,,,,,48,,,five,FAIL
Rahul,17,Female,10-B,,,,,,absent,,FAIL
Meena,,Male,,absent,absent,,absent,absent,,5.47,Pass
Sneha,18,,XI,30,14,,,,absent,7.8,
Meena,18,Female,12 ,absent,,,,absent,,,FAIL
Ananya ,17,F,10A,,7,43,,30,48,8.35,
Aditi,16,,,,,,,85,8,1.59,
Rohit,seventeen,,,,,,81,,,5.4,
Rohit,19,M,12 ,,,44,,,,five,Pass
Meena,18,M,,,4,,,,,,pass
Aditi,15,F,,93,absent,,,,,,pass
Aditi ,17,Male,12 ,absent,,,absent,,,,pass
Rahul,19,,,81,absent,,,,,,
Rahul,17,,XI,,absent,,,56,absent,4.91,FAIL
Karan,18,Male,10-B,,absent,52,,,,five,pass
Ananya,seventeen,Male,XI,absent,absent,absent,absent,47,absent,,Fail
Vikram,seventeen,,,95,10,88,37,,,,Fail
Arjun,17,,10-B,absent,,,,,,,Fail
Ananya,16,Male,XI,,,20,,,,,Pass
Meena,,Female,,,absent,,,,,,pass
Aditi ,16,F,XI,9,,,,54,,five,FAIL
Arjun ,19,Female,XI,,23,,13,,50,,
Arjun ,15,M,,,1,,,,absent,five,Pass
Aditi,18,F,12 ,,absent,,69,,,1.54,
Meena,,,,,,,,,,2.66,
Sneha,15,Female,XI,absent,,,,,71,five,FAIL
Rohit,18,,10-B,,29,,,absent,,,
Rahul,19,M,10-B,,57,,,99,,five,Fail
Ananya,seventeen,,,,,absent,,,68,five,
Aditi ,,Female,10-B,absent,,absent,,,,5.77,Pass
Arjun,,,10A,7,4,,,,,5.64,
Priya,18,,XI,,,absent,,21,88,five,
Priya ,,,,,,98,40,,,,FAIL
Vikram,seventeen,Female,XI,92,,59,,,28,5.67,Fail
Meena,19,,,,,,absent,,68,,
Karan,17,F,,,absent,,,,,1.96,pass
Rahul,,F,10-B,,absent,absent,61,79,27,five,FAIL
Aditi,16,F,10-B,,absent,absent,,,absent,five,
Aditi,19,Female,XI,39,,absent,,,,,Pass
Rahul,17,,,80,,,,,,five,Fail
Aditi,17,F,,,,absent,,8,,,Fail
Meena,seventeen,Male,10A,,absent,,,,absent,five,Pass
Meena,seventeen,Male,10A,,absent,,,,absent,five,Pass
Karan,,,10A,,18,,,absent,,,FAIL
Meena,,,,37,67,absent,,absent,,,pass
Karan,19,,XI,,95,51,9,,92,,FAIL
Rahul,17,M,,,absent,,,,,five,
Ananya,seventeen,M,10A,89,,,,,,five,
Sneha,18,Female,XI,,,absent,24,absent,,five,FAIL
Sneha,15,Female,10A,27,absent,66,,absent,,,Fail
Sneha,18,F,10A,,,92,,80,,5.06,
Rohit ,seventeen,Female,10-B,,81,,,,,five,Pass
Rahul,,Female,,absent,absent,,99,,,five,Fail
Ananya,,,10-B,absent,29,,,12,,five,pass
Arjun ,19,Female,,absent,absent,,,,,0.68,FAIL
Rahul,16,Female,,15,,,,,absent,,FAIL
Sneha,seventeen,,10-B,83,,,,absent,80,5.14,
Vikram ,16,,10-B,,,82,absent,,absent,,
Aditi,,M,,,absent,,,,24,,FAIL
Ananya,19,F,XI,,,,,96,,,
Aditi,16,Female,12 ,,,,15,,17,five,FAIL
Priya,17,Female,XI,absent,,,,,absent,five,FAIL
Ananya,18,Female,10-B,8,absent,45,,,absent,,Pass
Meena,15,Male,XI,absent,,,absent,54,,,Fail
Karan,seventeen,F,12 ,,,13,absent,absent,,,FAIL
Priya ,19,,10-B,,87,,,,,0.95,
Vikram ,,,10A,77,,,,,,,pass
Vikram ,19,Male,XI,,,,3,,,five,
Aditi,19,,10-B,absent,32,,absent,,,five,Fail
Aditi,19,,10-B,absent,32,,absent,,,five,Fail
Vikram,17,Male,,,,,,,,,
Sneha,18,F,XI,,,90,absent,,absent,five,
Arjun,,F,10A,13,,absent,,,,,FAIL
Rahul,,M,10-B,,73,,,,absent,five,
Priya,seventeen,Male,10-B,79,absent,,,absent,54,3.51,Fail
Arjun,18,Male,XI,,,,99,absent,,,
Arjun,16,,10A,,,absent,4,4,absent,,FAIL
Sneha,seventeen,,XI,,absent,,,,,1.08,FAIL
Rahul,,Female,,,,,100,21,49,,
Karan,18,F,XI,,absent,55,absent,,,,
Priya,18,Female,10-B,,,absent,,,absent,,
Aditi,,M,10A,,65,,,70,90,9.82,pass
Meena,seventeen,,XI,,12,,absent,absent,,,FAIL
Sneha,,F,10A,,,,48,,,0.66,FAIL
Rohit,17,Male,10A,,absent,,,,,five,FAIL
Karan,17,F,10-B,,,,,absent,,,
Meena,18,,,,26,,,absent,,,Pass
Rahul,15,Male,,10,,,,,9,,
Rohit,17,Female,10A,,,,absent,81,,2.63,FAIL
Karan,,,12 ,absent,,,,4,,5.77,pass
Meena,19,,12 ,absent,,55,,,5,,
Sneha ,18,M,XI,,,,,,34,,Fail
Sneha ,18,M,XI,,,,,,34,,Fail
Rohit,17,M,,,,,,,absent,,Fail
Meena,16,F,10A,absent,56,,,5,,6.86,
Ananya,18,,,,,,69,66,,five,Pass
Priya,17,,10-B,absent,8,,absent,,absent,,FAIL
Arjun,19,Female,,,,,100,,,,Fail
Ananya,,Male,,,30,absent,34,,absent,5.59,Pass
Aditi,17,,,,,,48,,,five,FAIL
Ananya,seventeen,Female,XI,,,93,,,,,
Karan,16,F,XI,,,,39,,,,Pass
Vikram,17,Male,,,absent,,,,,five,
Sneha,19,M,,,68,74,absent,absent,,8.46,pass
Vikram,16,,XI,absent,54,76,,2,7,6.4,
Rahul,19,M,12 ,,absent,,,absent,,,
Sneha,19,M,10A,34,,,,,28,,FAIL
Meena,15,Female,,95,,94,absent,absent,,,
Vikram,18,,,38,,,,,,,
Meena,17,F,XI,1,absent,absent,,,70,4.44,
Aditi,seventeen,F,,85,,,,,,,
Arjun,16,Female,,,,,absent,,,,Pass
Karan,,,10A,,79,,,absent,,,
Aditi,16,,10-B,,5,,,,,five,FAIL
Ananya,17,,XI,absent,absent,,,,,,
Rohit,19,,10A,,,absent,,,,five,
Meena,seventeen,F,XI,6,,absent,96,,,,FAIL
Arjun ,,,10-B,,absent,47,,56,,five,
Rohit,15,,12 ,absent,36,,absent,absent,,,FAIL
Ananya,17,F,12 ,,,,,48,absent,9.93,Pass
Priya,,,12 ,12,absent,,47,81,,five,FAIL
Ananya,,,,6,absent,,53,absent,,,Pass
Karan,,Female,10-B,,37,80,,,,2.84,Pass
Rohit,17,,XI,58,,,,,,,Pass
Priya,19,F,12 ,absent,,,,absent,28,,pass
Sneha,17,,XI,33,27,,32,,,,
Sneha,17,,XI,33,27,,32,,,,
Rohit,,Female,XI,,,,29,,absent,,FAIL
Sneha,15,,,63,,4,,,,8.04,Fail
Rahul,18,,10A,13,,56,,,,five,Pass
Vikram,16,Male,XI,,70,10,39,,,8.88,
Vikram,16,Male,XI,,70,10,39,,,8.88,
Rohit ,15,M,10A,absent,,68,absent,absent,,five,
Meena ,,,10-B,34,absent,96,,20,,1.89,pass
Vikram,16,,,,,absent,,5,absent,,
Meena,seventeen,F,,,,,53,,,five,pass
Sneha,16,Female,,,,,,absent,,five,pass
Sneha ,16,,,38,,,,absent,,8.1,
Rahul,,,,8,,67,absent,48,,1.68,
Arjun,19,Male,12 ,absent,,,26,,63,five,FAIL
Karan,15,,12 ,,,,,absent,,,Pass
Sneha,,Male,XI,absent,,,,,,3.4,Fail
Aditi,17,,10-B,45,,absent,absent,absent,,,Pass
Aditi,seventeen,F,10-B,absent,absent,absent,absent,,,,Fail
Arjun,19,M,,absent,,absent,,,,,Fail
Arjun,15,,12 ,,,,,,absent,2.68,pass
Karan,16,,,absent,,absent,,absent,absent,five,
Ananya,,Male,10-B,,,18,absent,35,,,FAIL
Rohit ,18,F,10-B,absent,82,absent,,absent,,five,pass
Sneha,,Female,10-B,,33,,,,absent,3.38,Fail
Sneha,,Female,10-B,,33,,,,absent,3.38,Fail
Rohit,,Female,12 ,absent,,absent,absent,,,2.66,Pass
Rahul,18,Male,10A,absent,5,,,,63,,Fail
Rahul,17,,,,,,,,absent,,pass
Vikram,19,Female,,81,92,64,,,,,Fail
Rahul,seventeen,,12 ,absent,,,absent,18,,,
Meena,19,Female,XI,,62,,,,absent,7.14,
Arjun,,Male,10A,,,,,,,1.15,FAIL
Karan ,15,M,,89,,93,70,,,five,Pass
Karan,19,,10-B,,absent,,,,,,
Rahul,,M,10A,,19,,,,,five,FAIL
Rohit,19,Female,XI,,,,,,25,five,Pass
Vikram,18,,,,58,10,,absent,,1.64,FAIL
Aditi ,16,Female,XI,,,45,,,,five,Pass
Rohit,16,Male,10A,4,,absent,,,,,pass
Rahul,18,Male,,absent,,absent,,,,five,Pass
Vikram ,17,Male,,95,,55,1,54,absent,five,FAIL
Ananya,15,M,XI,56,,absent,,absent,absent,,Fail
Rohit,seventeen,Male,,,,,,,,0.5,pass
Karan,,M,,,,,absent,11,absent,,
Aditi,16,,XI,absent,absent,79,,,,3.96,FAIL
Priya,,M,XI,28,absent,absent,93,,absent,,
Ananya,19,Male,,,absent,absent,absent,57,15,8.06,pass
Ananya,16,Female,XI,,,,,absent,,,FAIL
Aditi ,,F,,,94,absent,35,,,five,Pass
Ananya,,Male,,,,,,,77,,Fail
Priya,15,,10-B,96,,,,,,6.83,pass
Meena,,Male,10A,absent,,absent,,absent,,2.84,FAIL
Karan,17,Male,XI,,,,,27,absent,,
Sneha,seventeen,Female,,,,,absent,absent,99,9.42,pass
Sneha,seventeen,Female,10A,absent,,,,51,,,
Meena,15,,XI,,absent,45,absent,absent,68,,pass
Ananya,16,,XI,,82,78,,,,8.91,pass
Sneha,,,XI,,absent,absent,,80,,,FAIL
Arjun,17,Male,10-B,,46,,,absent,,,
Rohit ,,M,12 ,60,,absent,27,,,,
Rohit,19,F,12 ,absent,,,5,absent,86,,pass
Aditi,15,,10A,86,,,,,,five,Pass
Sneha,,Male,10A,,6,,,absent,absent,,Pass
Meena ,,F,,73,,42,,85,58,,
Karan,,M,XI,,absent,absent,,64,,,FAIL
Karan ,seventeen,M,10-B,14,45,40,35,30,,6.38,Fail
Arjun ,,Female,12 ,,,15,absent,,,,
Meena,15,F,12 ,,84,2,,,absent,,
Ananya,16,,12 ,69,,40,,,,,FAIL
Rahul,19,F,,,,,66,52,,,Pass
Rohit,19,Male,,,24,,absent,,48,five,FAIL
Arjun,16,,XI,,,,,absent,,,Fail
Sneha,19,M,10-B,,,absent,,,,7.54,Pass
Rohit,17,M,10A,46,,,,24,2,7.4,
Ananya,seventeen,,12 ,,69,22,,,,five,Fail
Meena,18,,10-B,77,,,,,,five,
Sneha,,Female,,70,,,absent,,2,,FAIL
Priya ,,,10-B,,,,,,45,,
Rohit,,,,,58,,51,,,,Fail
Rohit,,,,,58,,51,,,,Fail
Meena,,Male,XI,,,absent,,,,,
Karan ,,M,,21,69,,15,,,five,pass
Aditi ,15,Female,,,,,23,,,,
Ananya ,,Male,12 ,,absent,,,,absent,five,pass
Rohit,,,10A,,,,,,,,pass
Ananya,19,Male,,92,absent,,,90,92,,
Aditi,seventeen,,10-B,,68,32,41,93,,4.54,
Priya ,16,F,10-B,58,,absent,64,absent,,,FAIL
Sneha,18,,12 ,,,,38,16,,five,
Karan,15,Male,,,,absent,12,,,,pass
Priya,15,F,,12,,92,77,,absent,five,
Ananya,17,Female,XI,,59,absent,32,,,,Pass
Aditi,16,F,12 ,16,absent,,23,,,five,FAIL
Rohit,16,F,,absent,,,,,58,five,
Vikram,19,Female,12 ,,,,,,absent,five,Pass
Aditi ,17,F,10A,,,absent,,,,1.32,pass
Priya,17,F,XI,,,absent,,,,,
Aditi ,19,,10-B,,absent,,,,37,,FAIL
Rahul,16,M,12 ,,absent,,absent,absent,,,Fail
Sneha ,seventeen,Male,10-B,,absent,,,absent,,,pass
Vikram,15,F,12 ,,absent,,,,,4.1,Pass
Rahul ,17,Male,XI,,,58,,absent,,five,
Meena,19,Male,,absent,absent,,,28,,,Pass
Priya,16,M,12 ,,28,,,absent,,five,
Priya,16,M,12 ,,28,,,absent,,five,
Sneha,16,Female,XI,,,99,,64,absent,9.26,
Rahul,seventeen,Male,12 ,15,,,,88,absent,,
Rahul,15,,,,,,5,absent,57,,pass
Priya ,18,F,12 ,99,absent,,absent,,,,
Rahul,15,Female,10A,65,,68,7,29,11,6.99,
Priya,18,Female,,,25,,88,,71,7.74,pass
Rohit,19,M,XI,86,absent,,absent,,99,five,FAIL
Sneha,16,,XI,27,,,5,87,absent,five,pass
Rahul,17,F,XI,6,absent,,74,,,,
Rahul,15,,,,,,,,,,Pass
Karan,,F,,,absent,absent,23,,52,,
Vikram,19,,,,,absent,absent,,,five,
Meena,seventeen,,,,,,,absent,,five,
Karan,18,F,10A,18,,91,,,absent,2.55,
Rohit,seventeen,F,10-B,,,,77,26,absent,five,
Priya,,Male,10-B,,,,,,,,FAIL
Meena,15,M,,,,absent,,,,9.38,FAIL
Vikram ,,,10A,absent,,,,,,five,
Arjun,,,12 ,67,,32,36,,,9.77,Pass
Karan,15,F,,absent,,,absent,,91,6.93,
Rohit,17,F,12 ,,78,absent,absent,absent,,,pass
Ananya ,19,,XI,,,,,,absent,five,
Ananya ,16,Male,XI,,,absent,,absent,,,Fail
Arjun,19,Male,12 ,99,,,,,30,9.72,
Arjun,18,Female,XI,,,absent,,28,16,,Fail
Rahul,,,10A,absent,,,63,50,,five,
Aditi,19,Female,XI,,absent,absent,,13,,7.71,FAIL
Aditi,19,Female,XI,,absent,absent,,13,,7.71,FAIL
Meena,15,,10A,,,,,,31,,Fail
Arjun,,M,XI,100,absent,,absent,,absent,1.26,Pass
Karan,,F,10A,,,,,absent,,5.12,
Karan,17,Female,10-B,,,88,absent,55,,,Pass
Rohit,,Male,12 ,8,6,,,,83,five,FAIL
Vikram,17,M,10-B,absent,absent,13,,,absent,,pass
Vikram,19,Female,,absent,absent,,,,,,Pass
Ananya,,F,XI,,,96,,,,five,Pass
Vikram,18,,10A,0,,,absent,,absent,five,FAIL
Vikram,15,,10-B,absent,,,absent,,41,3.23,pass
Meena,17,,10-B,,28,,,52,absent,,
Meena,17,,10-B,,28,,,52,absent,,
Aditi ,15,,12 ,,,,,86,absent,,
Meena,18,M,10-B,,absent,,62,absent,,,Pass
Meena,15,,12 ,absent,,absent,absent,,,,Fail
Rohit ,18,,10-B,absent,69,,69,absent,absent,,
Rohit ,18,,10-B,absent,69,,69,absent,absent,,
Vikram,seventeen,M,,,,17,59,,absent,7.86,
Rahul,,,12 ,52,absent,,absent,47,absent,five,pass
Arjun,,,10A,,,,99,absent,59,,FAIL
Priya ,19,M,10A,,absent,,,,,five,Pass
Sneha ,seventeen,,,,absent,96,69,30,absent,2.19,
Sneha ,seventeen,,,,absent,96,69,30,absent,2.19,
Rohit,,,,,,52,67,,,five,pass
Ananya,17,Female,12 ,,91,92,,absent,7,4.88,Pass
Meena,seventeen,Male,12 ,,93,87,64,,,five,
Ananya,seventeen,M,12 ,33,43,54,,,,0.92,Fail
Priya,17,,XI,78,,,14,,,3.05,Fail
Vikram,16,Male,,absent,80,38,absent,,4,,
Vikram,15,F,12 ,,18,,absent,,,,FAIL
Karan,17,M,12 ,,,,19,,,five,Fail
Meena,,Male,,,,99,,,,,
Meena,18,Male,,100,,,,,,,Fail
Aditi,,,,absent,,absent,,,absent,,
Rohit,,,12 ,100,37,absent,40,22,94,,
Karan,,Male,XI,,23,,absent,,,,
Rohit,,Male,,,absent,,,absent,51,,FAIL
Vikram,17,F,,,absent,,absent,59,,2.47,
Arjun,19,M,10-B,,45,,,,,five,pass
Rohit,,F,12 ,17,,absent,,,,8.37,pass
Priya,17,Male,10-B,,,absent,,89,,8.34,pass
Priya,19,Female,XI,absent,100,,,45,,6.07,FAIL
Meena,16,,,,,,absent,,,five,
Aditi,,M,12 ,,,2,,absent,absent,,pass
Aditi,,F,12 ,,,,absent,,87,,FAIL
Arjun,,M,10-B,49,83,,,34,absent,,Fail
Vikram,15,M,10-B,,39,absent,,51,,,
Priya,,Female,,74,21,98,,,absent,,pass
Rahul,seventeen,Male,10A,,51,,15,58,62,1.35,pass
Karan,17,Female,,,,,,,,6.89,pass
Rohit,seventeen,Male,XI,,,absent,,,4,,
Aditi,,M,,,97,,,,,,pass
